id,published,source,title
5a07213b-7e81-4e0c-9dfa-758ae4c1ae3c,2015-09-30T02:26:54Z,Dominion Post,Mars sparks Antarctic interest
68047331-25e1-4af5-974b-766f1338bef0,2015-09-06T13:31:36Z,The Independent,Italian Grand Prix 2015 report: Lewis Hamilton feels little pressure despite tyre probe
0429b914-907a-4d79-aed8-5e2a7ebaa230,2015-09-05T16:50:38Z,Channel NewsAsia,Rugby-England beat Ireland 21-13 in final warm up
1e8e36b3-ffbc-4618-b9f8-687ac4ec9883,2015-09-29T00:08:22Z,Consumer Electronics Net,Asking the Most Difficult Question: Are You an Addict?
f0c1a6e3-3fbd-4dff-8d29-9b11a56f8658,2015-09-14T02:20:20Z,ESPN.com,Four Downs: Fantasy TEs emerge
ed5d35bc-a7ef-4cba-84cc-fbd866b9281d,2015-09-17T14:31:09Z,Individual.com,"World's largest youth empowerment event, WE Day, comes to Southern California"
b88cbbed-d9b5-47e1-8ef1-cb5361e3544d,2015-09-12T15:27:12Z,Yahoo! UK and Ireland,"Airbus U.S. plant cheaper than France, Germany, CEO tells paper"
be94f275-223c-46bd-8efd-fafa03872368,2015-09-02T13:45:00Z,Yahoo! News,EvoNexus Demo Day features San Diego's most innovative startups
e7fc9f97-0952-4481-951b-583a3f17893e,2015-09-30T16:23:00Z,Pettinga Financial Advisors,"Amerlux, along with SLL and CIBSE, to Celebrate ""Night of Heritage Light"" throughout UK on October 1st"
17e7c861-f3cf-49d3-bf93-4daf4a99324c,2015-09-03T15:45:10Z,Business World,Revilla wants 34 defense witnesses
04373281-0764-483e-a96f-481562918702,2015-09-19T01:07:22Z,The Australian,Sicario Movie Review
e8097d28-cfda-4850-bbba-2e082da3511e,2015-09-20T22:58:28Z,Kingston Whig-Standard,Undecided voter with open mind good for country
83799f44-5dcc-40e8-ae84-c28f4757e173,2015-09-14T07:54:04Z,Daily Mirror Sri Lanka,Fortinet launches most secure cloud-managed enterprise ...
8c014427-87f3-4686-880c-a7ee6e14cc89,2015-09-17T19:46:00Z,Forbes.com,The Fed's View Of Inflation: 3 Ideas That Drove Their Decision Not To Tighten
9e3ed925-b3cd-4f10-a9b0-f0ae259563f1,2015-09-18T16:28:50Z,Huffington Post,Why I'm Going to Burma (Myanmar)
8b31120e-d654-45b4-a5df-8fef674339d8,2015-09-22T20:15:00Z,Wall Street Select,Company Update (NYSE:MET): MetLife Increases Share Repurchase Authorization to $1 Billion
203806f6-13f7-4edb-9d8b-d0d063285081,2015-09-13T21:05:14Z,Guardian.co.uk,Bath-bound Nikola Matawalu warns Stuart Lancaster of Fiji threat
5fd1295b-5bec-4e09-a7fd-33a5413681b1,2015-09-24T16:37:06Z,Sys-Con Canada,"Global 3D/4D Technology Market - By Products, Regions and Vendors - Market Trends and Forecasts (2015-2020) - Reportlinker Review"
b294ecd3-c838-4617-93d5-f99248aa096b,2015-09-11T00:49:23Z,MSN Philippines,Jessica Simpson: No more kids
d59431ae-7f4c-4a03-88a0-d05c57d62be3,2015-09-16T12:00:00Z,Business Wire,"Annaly Capital Management, Inc. Announces the $592 Million Financing of Blackstone’s and Fairstead Capital’s Purchase of New York City Apartment Portfolio"
9c2abfde-02c5-4342-8a24-7c929090a6f8,2015-09-03T21:57:00Z,BET.com,Ben Carson
ef756748-9863-44d6-8cfc-66cbf0ccd975,2015-09-02T09:43:41Z,Times Live South Africa,Reporting on crime encourages young people to commit crime - Hlaudi Motsoeneng (video)
515400c5-967c-47ce-9028-f46ffa6d2370,2015-09-24T05:22:09Z,Topnews.in,Both sides allege publicity playing role in wave of felony marijuana charges
df884099-773c-4c66-a947-315e8c79ddc0,2015-09-15T15:46:00Z,Freshnews.com,AnchorOps Becomes Member of American Association Of Political Consultants (AAPC)
4a8f4814-0fd9-4ab0-8c4c-c873b56269ff,2015-09-27T21:10:45Z,US.NewsHub.org,"Rex Ryan sends message, names four former Dolphins as captains"
2f802367-c298-4816-b9c9-fcc30910123a,2015-09-25T19:41:37Z,1070wapi.com,Inside Trevor Noah’s final test run for the new ‘Daily Show’
3a87affa-bcb1-46ad-a999-4a1e03869477,2015-09-23T08:10:21Z,Punchline,Fancy Cooking
ef972152-a7fb-4823-9895-62be487d9eaa,2015-09-21T05:03:50Z,IOL,‘No problem’ with Pharrell protest
011e98e2-0434-4004-b020-7a4a81e12d68,2015-09-03T04:09:22Z,Harden Express,Graffiti-inspired site in Collingwood on track to showcase rooftop trains
11086b61-d705-4134-8ab0-ad944b31c898,2015-09-21T10:05:39Z,MENAFN,S. Korean Argo shipments fall 9.3 percent on-year in August
b28a79e8-1cd5-459e-875e-1a8ac11319d3,2015-09-22T11:56:53Z,Review Seeker,New CSI Software Apple Watch App Offers Breakthrough Digital Experience for Health and Fitness Clubs
ecee1173-832a-41b9-a479-d7e1093a1dd4,2015-09-08T08:18:20Z,IOL,Caught in Glencore’s financial squall
32023021-1141-4832-9939-c8442d505b34,2015-09-28T21:30:00Z,MySanAntonio,Perkins Eastman Celebrates Groundbreaking of Clark-Lindsey's Small Homes for Dementia Care
1478bf7b-1c23-4235-9ed2-b8c287fc952c,2015-09-01T09:27:12Z,Reuters,Inox Wind Ltd Wind Bags 100 MW Order from OSTRO Energy
7cd39dcf-be13-46a7-a6af-b1d55a42e9e9,2015-09-26T08:01:36Z,Tech Vibes,Facilities Planner
58bba8c3-41c6-43cb-953c-40ff68b343fc,2015-09-13T07:49:15Z,Sydney Morning Herald,Must do Brisbane: Best continental delis
5abbdaa4-a6dd-4403-a1e4-e021c1f33d96,2015-09-25T21:08:43Z,General Medicine eJournal,"Genvoya, a Gentler Anti-HIV Cocktail, Okayed by EU Regulators"
c1c5dee9-77a1-494b-820d-88bbe24fb733,2015-09-29T19:57:46Z,NewsListOnline,"Tokyo, japan film festival to pay attention to homegrown movies – Yahoo News"
0b3bea50-3a2c-4d07-953e-45aca9988634,2015-09-05T07:01:06Z,Citizen.co.za,Nadal vows to fight on despite US Open shocker
0e4f366b-0ecb-415d-bfc4-17494d5a4c58,2015-09-04T02:50:24Z,MyInforms,Bangkok Asian Organic Gourmet Festival gears up a notch
eaac395b-6671-4b7e-80c9-2a81f1492aad,2015-09-30T17:47:00Z,Ilounge,News: Apple releases iOS 9.1 beta 3 to developers
899a8c22-3bf4-4274-ae6b-d3ac4ee451e3,2015-09-09T20:05:01Z,WA Today,"Apple announces iPhone 6s and iPhone 6s Plus, new Apple TV and iPad Pro"
bb487a6c-0c13-4a30-a22b-bd865fef9f01,2015-09-18T14:47:29Z,Ynet News,Kerry: US plans military talks with Russia over Syria
79bb22c6-539f-4dd7-af2e-4d8672599d17,2015-09-15T02:21:38Z,New Indian Express,Djokovic's Warrior Spirit Defeats Uprising
f853bd19-8f5b-468d-a261-a2cb9c7407bc,2015-09-06T13:40:49Z,CNN Money,"Down syndrome no reason for abortion, Palin says"
4433ef79-ce00-4ef3-b93d-f5d38901007d,2015-09-21T14:08:59Z,The Australian,Farah first issue for new chief
94daebe1-46be-4efc-bbf8-22733d228e41,2015-09-16T07:04:46Z,Gulf Daily News,Migrants head for Croatia to avoid Hungarian fence
c24983f3-70bc-4e1e-b1ab-75d559adc338,2015-09-06T00:04:28Z,CNN,Tropical Storm Grace forms in eastern Atlantic
175bbfbd-b5f9-4bb3-bfa2-a697633060d3,2015-09-29T09:03:40Z,TickerTech.com,"Johnson & Johnson's Ethicon Wants Transvaginal Mesh $1.2MM Verdict Thrown Out, says Legal-Bay Lawsuit Settlement Funding"
b5a30ea8-644f-4822-a1f9-8bad37e881b0,2015-09-27T06:02:38Z,Manila Bulletin,Students of relocated communities receive gifts of hope
be8e1b0d-6512-495d-8b55-40b0320a513e,2015-09-22T23:06:10Z,CEOWorld Magazine,Ziegler Closes $44.49 Million Fox Run at Orchard Park Financing
bf88166e-76fe-4605-97df-bb63f5a1806c,2015-09-20T22:09:35Z,New Delhi Pioneer,13 dead in migrant boat collision with ferry off Turkey
4d2af8fe-d464-4a33-8148-f5b003dfdfe5,2015-09-23T08:41:00Z,EthioGrio,CBE Plans to Open 500 Branches in GTP II Period
86ffe840-0a6b-4e7d-9490-e24636a3a214,2015-09-04T01:38:49Z,Northern Territory Government,Crows don't feel cheated: Camporeale
c8005766-131a-441a-bd69-00adaa3901f7,2015-09-18T14:06:40Z,WA Today,Environmental philanthropist Rob Purves warns that green groups under attack
96dea64b-8da0-43d3-a15f-5ba682635881,2015-09-28T15:25:41Z,Benzinga.com,Energen to Participate in Deutsche Bank Energy One-on-One Corporate Days
6c3814a9-8e3b-4826-8472-13d6ec197c91,2015-09-27T00:27:05Z,NewsR.in,One-fingered climber nears Everest top
89036bd9-737d-4865-a461-a5883a14e46d,2015-09-28T13:12:57Z,CBC,"Supermoon, eclipse elusive in Calgary's cloudy skies"
07db84bd-ac51-4821-a47a-c656dd1a2f96,2015-09-25T12:22:00Z,BioSpace,Research and Markets: Spain Crude Oil Refinery Outlook to 2020
ea0a2276-afdb-4cd0-bdff-a02df7eec11c,2015-09-10T12:23:48Z,Hindustan Times,50 spies say ISIS intelligence report by US cooked up: Report
3d264ea6-0679-45da-a1d9-4a16007458f5,2015-09-10T07:49:10Z,Times of India,Hollywood hotheads 'fight' it out
9d543c22-80f6-4172-8491-06e1c278d6ff,2015-09-27T15:09:12Z,MyInforms,"FHP: One person dead after car crashes into tree, catches fire on Interstate 75"
79407845-619e-4ab4-8b06-eee52d11db49,2015-09-14T07:07:16Z,BBC,Heathrow activists take direct action
515100e7-e13c-4a1e-8abd-86748b375e11,2015-09-07T14:00:22Z,Manila Bulletin,Pacquiao buries 5 treys for a career-best 19 pts.
43fcbb87-a47a-45fa-a306-a83324ac9bc9,2015-09-06T11:06:40Z,Sydney Morning Herald,"China claims Panchen Lama 'living a normal life', 20 years after disappearance"
da45ca1d-a57f-4a8f-a99f-9c9a63310b0c,2015-09-08T05:01:19Z,Telegraph,It is not too late to rethink this country's nuclear power strategy
7d81a98b-8483-4b4c-8c74-55d586f7d863,2015-09-22T23:00:00Z,RSC,Can enantiomer ligands produce structurally distinct homochiral MOF?
e900a0d0-d2bd-4119-9f90-b37e19d21abe,2015-09-24T07:11:14Z,CEOWorld Magazine,Chevo Lands SEC Business Management Office (BMO) Support Services Prime Contract
f3e77194-46c0-4588-b2a8-41bed1a200d8,2015-09-19T01:52:11Z,The Hindu,‘He earned two degrees and a diploma in jail’
b5a591aa-8dd0-43d2-9961-ab19510f87ac,2015-09-11T18:42:11Z,Washington Post,British Parliament rejects controversial right-to-die bill
bfc58ab8-8af2-45cd-9e4d-7db7c25613ec,2015-09-16T14:13:17Z,UPI,"Trump national security speech met with protesters, jeers"
5811057c-6732-4b37-b04c-ddf0a75a7b51,2015-09-19T06:57:59Z,Nine MSN,Teenager Lydia Ko makes history at Evian
e2f6d043-d1b1-45d8-ae5e-34d03a081b18,2015-09-02T13:39:31Z,Individual.com,"Critical Alerts For Apple, United Continental Holdings, Windstream, Horizon Pharma and Alexion Pharmaceuticals Released By InvestorsObserver"
2c64c5a7-09af-442f-a55c-000093ffbc26,2015-09-26T23:56:09Z,AZCentral.com,Tempe police seek missing 84-year-old woman
62821356-38aa-4ed6-90d8-1c32a2e99a8e,2015-09-05T19:34:25Z,Yahoo! UK and Ireland,A nation divided - Hungarians loathe and help refugees
07e1a288-d7e5-4565-8936-9ca9d246c423,2015-09-13T00:39:50Z,Bloomberg,Around Town: Men's Wearhouse coming to Columbia Mall [Grand Forks Herald]
f40a96b1-9b7d-48db-a3d9-447c558079e7,2015-09-09T22:39:32Z,iStart.com.au,NFP housing providers choose Greentree
1a0e4778-5711-48a0-879f-c5d0490c3918,2015-09-23T18:19:12Z,Law360 - White Collar,Senate Passes Bill To Increase Transparency In Gov't Deals
b43c7d5a-b486-415b-9d98-d9a9f62dff2c,2015-09-10T12:44:46Z,Financial Express,Bespoke luxury experiences for Indian fans at English Premier League
9e94f806-fe54-4ed0-bd16-2a0ce220b920,2015-09-26T02:44:23Z,Lakes Mail,The Hawk - Largesse grows again as Melbourne Cup fever for spending heats up
00ecb565-8dcb-443e-875c-71babdce2269,2015-09-20T23:52:37Z,NBCNews.com,VIDEO:Good Samaritans Stop Alleged Hit-and-Run Driver in Miami
c6b42592-a85d-426b-af19-d580b054b665,2015-09-15T15:22:00Z,Freshnews.com,"Applied BioMath, LLC. To Sponsor and Present at the Inaugural Quantitative Systems Pharmacology (QSP) Program at Discovery on Target 2015"
0db352b5-25b0-46fc-84a2-2a9845c9b585,2015-09-09T04:00:00Z,LexisPSL Private Client,Van Collem and others v Van Collem and others
4fef4b46-17e6-43a9-b762-f68b20c1d4ef,2015-09-10T14:37:16Z,Reuters,"Brazil central bank sees 2016 inflation falling to target, eyes currency"
6d9aec53-8d75-4e94-9535-23ddbb2841e2,2015-09-12T17:51:31Z,CBS News,CBS US News: Mayweather's last fight doesn't seem to pack much of a punch
62e1db0d-c532-4fae-be44-5c7a5598fe9f,2015-09-11T15:35:21Z,Business Insider,British legislators overwhelmingly reject 'right to die' law
7df1df00-cf85-4584-bd5b-5a38e35b5694,2015-09-08T12:35:58Z,Yahoo! Finance,"Atlas Financial Holdings to Present at the Keefe, Bruyette & Woods 2015 Insurance Conference Business Wire"
23432c8f-b9a6-42ac-8d41-9375967c8c4c,2015-09-22T10:26:56Z,NewsR.in,"91-year-old ex-Auschwitz worker accused of complicity in 260,000 WWII murders - @AFP, @dpa"
4e74bbed-b449-48a8-a71c-f70499105289,2015-09-01T16:51:52Z,International Business Times UK,China: Man uses broom to save toddler hanging from window [video]
f4d8fb92-1eb2-4395-9449-e5bfb71a1f77,2015-09-07T16:42:32Z,Big News Network,Police searching for suspects who vandalized new Franklin playground
f0b9b1b7-f8c9-4da3-bd7d-ec07993c7c4a,2015-09-09T13:22:44Z,Review Seeker,Adeptus Health Inc. to Present at the 2015 Morgan Stanley Global Healthcare Conference
f5c00739-0880-4d50-b917-9d7ea72fae77,2015-09-17T10:57:35Z,RTE Online,State funeral for Thomas Kent tomorrow
7ba01d52-a333-461d-bd91-a3bd9d5c043c,2015-09-12T04:30:00Z,Daily Express,"Transfer News: Chelsea Pogba alert, Man Utd deal done, Liverpool eye AC Milan swap deal"
9ce6dea5-1d7e-4648-bcc4-c53d3d4e4558,2015-09-06T20:08:13Z,Bangladesh Daily Star,A stadium for Hughes
35de6aea-82a0-41a8-9af8-38773e1dfc2c,2015-09-04T20:35:25Z,NewsOnFeeds.com,"Your Money Adviser: For College Students, Choosing a Bank Account Can Be a Minefield"
5d4e4fbf-b220-4f42-aed5-153725b27070,2015-09-07T21:13:35Z,LatestNigerian.com,Okowa Urges Oil Companies To Create Jobs In Host Communities
58b85ce5-7701-4010-a7f1-246880d1a980,2015-09-07T17:24:20Z,MerrionStreet.ie,Geoscience Ireland Companies Create over 130 New Jobs since January 2015
4bc04c2f-2d01-42d5-8311-e4005950d20f,2015-09-01T19:51:01Z,Times of India,Party MP calls BJP ‘Baura Jayewala Party’
92ae56ba-2a40-46e7-8788-f5bf9a9dfb56,2015-09-05T03:56:32Z,Dallas Morning News,Attacks on officers raise question: Do police nationwide face new risks?
